Dataset,Hardware,ds_key,hw_key,Stage,stage_idx,stage_id,Seed,HV,IGD,Spacing,Pareto Points,algo_id,MaxSpread
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,21,1.01855382052246,0.014068172299258018,0.18100586656071752,19.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,22,1.0151432432130205,0.11625639479848551,0.18247562689387417,18.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,23,1.0155373349763046,0.11748154068150457,0.1977208380608067,15.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,24,1.0160390570883067,0.010566556060532643,0.16902556641525093,21.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,25,1.0153231552329014,0.11238630775700853,0.026258415195610573,15.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,26,1.0169914178003958,0.012053811869690444,0.20096806686164048,14.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,27,1.0170094604456628,0.016927606191136726,0.18217620073110286,18.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,28,1.018427028286175,0.01981400326491506,0.17221366914733965,20.0,,
CIFAR-100,EdgeGPU,cifar100,edgegpu_latency,Random Search,0,stage1_random,29,1.0137630266992912,0.012749970300597168,0.1844241866846311,17.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,0,1.1313823172089499,0.01066468288438476,0.17583730078244264,19.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,1,1.1313007170799654,0.00855805297813004,0.1398616439089983,32.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,2,1.1311720473125695,0.009365484248233299,0.13342602239429763,34.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,3,1.133866984265044,0.010372005597043075,0.15794880594244864,24.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,4,1.1334747870996207,0.011556309277699574,0.15603590962642194,24.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,5,1.131136946647914,0.012295315203979874,0.13934617244976807,31.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,6,1.131303484644186,0.0109311661297774,0.15900827821309507,24.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,7,1.1340930703575836,0.008752206467827213,0.15236406916824077,26.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,8,1.133518923519312,0.009176364327207448,0.053781177494333164,30.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,9,1.1312494016912178,0.008063339693145046,0.018450176118378275,30.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,10,1.1359788682502774,0.012418800791063186,0.1765302825886392,20.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,11,1.1325281651695924,0.009495993899029581,0.13286838799855366,34.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,12,1.129325701583744,0.01275511104009385,0.15175098067238937,28.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,13,1.1314272331511306,0.006500368203003692,0.14711356071555182,28.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,14,1.1302609000018562,0.022735784653494157,0.1489784190051091,27.0,,
CIFAR-100,RPi-4,cifar100,raspi4_latency,Random Search,0,stage1_random,15,1.1300675380334002,0.013054939450163184,0.13614693269886355,32.0,,
